attribute_id,OBJECTID
77072222,80
77043723,225
77111876,372
77041931,402
77125091,716
77089087,879
77203692,912
77182031,937
77178221,946
77125533,1319
77185380,1355
77072486,1450
77118634,1517
77145720,1550
77187886,1679
77041927,1798
77125436,1838
77085961,1872
77086014,1933
77116053,2041
77011599,2061
77083236,2082
77131523,2115
77050589,2142
77037858,2147
77034327,2345
77011634,2386
77035144,2425
77018485,2428
77177560,2494
77182171,2671
77115967,2940
77149118,3026
77022686,3134
77018431,3140
77030713,3334
77041788,3498
77090758,3512
77018404,3631
77076664,3715
77035147,3732
77191264,3787
77187454,3823
77191201,3838
77134904,3858
77191194,4000
77182287,4005
77211925,4018
77182303,4041
77011542,4051
77034415,4052
77145626,4054
77018261,4081
77086474,4092
77208170,4103
77208051,4105
77037797,4167
77072449,4204
77066053,4269
77018190,4273
77099172,4277
77025128,4315
77187430,4332
77182322,4392
77066042,4442
77194689,4449
77211873,4495
77185785,4525
77191243,4590
77208180,4751
77215925,4796
77215629,4797
77125404,4865
77195167,4867
77151919,4875
77151954,4882
77149782,4884
77190773,4887
77152092,4894
77152165,4897
77149704,4902
77116847,4910
77116961,4941
77118736,4944
77050382,4995
77050550,4996
77066201,5008
77067748,5010
77065794,5012
77040137,5047
77067935,5076
77152143,5086
77050538,5099
77187147,5105
77140817,5122
77066056,5164
77149695,5176
77067820,5189
77067972,5190
77145717,5194
77067814,5211
77066064,5216
77066067,5218
77197126,5244
77197035,5245
77197080,5247
77197097,5248
77149708,5263
77152009,5270
77181124,5280
70839953,5295
77065857,5316
77065860,5318
77065996,5320
77152118,5330
77181961,5340
77151939,5353
77152056,5354
77129898,5384
77065826,5386
77039990,5389
77206313,5404
77177476,5409
77118798,5420
77118872,5427
77177536,5436
77178602,5466
77190532,5474
77118873,5529
77118785,5531
77118875,5532
77119006,5534
77181832,5544
77118783,5565
77149721,5622
77149735,5624
77041428,5635
77149614,5651
77116988,5654
77040203,5669
77040006,5672
77117075,5682
77039884,5695
77040289,5722
77072401,5752
77118861,5783
77117004,5784
77117080,5787
77118488,5795
77033836,5802
77118477,5903
77118911,5916
77118992,5919
77118586,5946
77054311,5963
77041557,5981
77035857,5991
77041534,6006
77076942,6066
77076621,6068
77117034,6127
77032643,6144
77118698,6148
77034149,6208
77056015,6233
77055900,6248
77022671,6254
77033976,6275
77116857,6306
77117093,6318
77116828,6332
77118563,6338
77117140,6398
77034206,6450
77130188,6461
77033900,6476
77035750,6535
77054318,6589
77187940,6602
77187937,6631
77187156,6666
77187157,6669
77033856,6719
77035681,6730
77033868,6751
77182960,6762
77048303,6774
77054212,6798
77055908,6832
77055832,6835
77185312,6882
77054295,6896
77032495,6918
77041443,6925
77129468,6929
77032494,6939
77033827,6944
77041522,6955
77147237,6995
77034027,7037
77130085,7052
77129599,7079
77130710,7081
77066329,7124
77068042,7157
77033841,7234
77032547,7239
77033945,7288
77177949,7307
77068099,7338
77181210,7417
77129523,7425
77197033,7483
77185396,7507
77130059,7570
77129426,7572
77149479,7616
77149485,7618
77068121,7633
77151989,7643
77066302,7660
77022696,7673
77017969,7675
77067900,7704
77067911,7732
77065869,7737
77037792,7754
77066309,7774
77130140,7784
77129998,7806
77066300,7822
77190822,7823
77180973,7872
77181177,7897
77129828,7914
77219602,7975
77034508,7985
77131461,8018
77178009,8041
77181300,8063
77130223,8078
77048543,8099
77181897,8146
77018002,8155
77130699,8165
77013266,8174
77129945,8235
77181447,8256
77190538,8301
77187233,8304
77190414,8305
77181475,8320
77181544,8325
77181392,8327
77187305,8346
77177648,8381
77181129,8401
77180894,8402
77187375,8406
77065835,8443
77056139,8446
77129650,8452
77018178,8459
77151829,8471
77067797,8477
77129697,8484
77050639,8521
77181526,8525
77178317,8530
77181623,8531
77130693,8545
77130291,8547
77050472,8556
77050635,8557
77177808,8594
77050223,8637
77050516,8640
77178352,8661
77181169,8666
77129417,8694
77187502,8710
77149465,8727
77055873,8733
77050513,8747
77151897,8759
77197239,8796
77197180,8798
77034557,8808
77181655,8820
77181918,8822
77182078,8826
77050152,8840
77182038,8869
77182142,8872
77181430,8875
77024294,8888
77190690,8890
77129956,8953
77187572,8963
77129967,8974
77187775,8981
77187854,8983
77187383,8987
77050683,8991
77182093,9011
77040145,9025
77129456,9029
77190638,9035
77118939,9043
77129490,9057
77129884,9059
77187274,9061
77129914,9093
77178049,9121
77037547,9132
